,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
150,"Willowdale, Willowdale East",43.76774000000007,-79.40727999999996,Hotel,Maryam Hotel,43.766961,-79.401199
151,Davisville North,43.71276000000007,-79.38850999999994,Hotel,Best Western Roehampton Hotel & Suites,43.7088783,-79.3908798
152,Davisville North,43.71276000000007,-79.38850999999994,Hotel,The Ambassador,43.710417755332664,-79.39186039919568
153,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Shangri-La Toronto,43.64912919417502,-79.3865566853963
154,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,The Ritz-Carlton,43.645330157595886,-79.38708901405334
155,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,The Fairmont Royal York,43.64544914616651,-79.3815076529019
156,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Hilton,43.6499459,-79.385479
157,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Sheraton Centre Toronto Hotel,43.6505944,-79.3845298
158,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Jazz Club,The Rex Hotel Jazz & Blues Bar,43.65050475544005,-79.38857723389897
159,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,The Adelaide Hotel Toronto,43.6498312,-79.3801639
160,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,InterContinental Toronto Centre,43.6444547,-79.3854827
161,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Hilton Convention Hall Toronto III,43.64973,-79.385912
162,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,"Royal Suite, Fairmont Royal York",43.64725305659947,-79.38307469732278
163,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,The Strathcona Hotel,43.646201956489605,-79.38275742610278
164,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Dominion Ballroom,43.65096631402739,-79.38435316085815
165,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel Bar,Library Bar,43.64550019136729,-79.38160166851243
166,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,General Travel,Toronto PATH System,43.64990340698978,-79.3830527039004
167,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Restaurant,Tundra Restaurant,43.650068857878594,-79.38540891817722
168,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Ritz-Carlton Club Lounge,43.645805712420284,-79.38740180151551
169,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,St Regis Hotel,43.64976981575342,-79.38070143942397
170,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,The Fairmont Gold Floor,43.64642636357823,-79.38116674849772
171,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Deloitte University North at The Fairmont Royal York Hotel,43.645794,-79.381645
