,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
236,St. James Town,43.65215000000007,-79.37586999999995,Italian Restaurant,Trattoria Mercatto,43.65445314470199,-79.3809741075674
237,St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Bannock,43.652101173138405,-79.38117828399939
238,St. James Town,43.65215000000007,-79.37586999999995,Italian Restaurant,Mercatto,43.6502431921682,-79.38081989149896
239,St. James Town,43.65215000000007,-79.37586999999995,Irish Pub,Irish Embassy,43.647918499361516,-79.37727345157903
241,St. James Town,43.65215000000007,-79.37586999999995,Moroccan Restaurant,The Sultan's Tent and Cafe Moroc,43.647927833506316,-79.37434095390434
242,St. James Town,43.65215000000007,-79.37586999999995,Middle Eastern Restaurant,Paramount Fine Foods,43.65502870847598,-79.38024513018975
243,St. James Town,43.65215000000007,-79.37586999999995,Greek Restaurant,Jimmy The Greek,43.6545029224916,-79.38088785568989
244,St. James Town,43.65215000000007,-79.37586999999995,Bistro,East Thirty-Six,43.648409,-79.375017
245,St. James Town,43.65215000000007,-79.37586999999995,Moroccan Restaurant,Berber SOCIAL,43.648113752405834,-79.37404622657372
246,St. James Town,43.65215000000007,-79.37586999999995,Steakhouse,Wildfire Steakhouse Cosmopolitan,43.64865154609798,-79.37706846610173
247,St. James Town,43.65215000000007,-79.37586999999995,Italian Restaurant,Uncle Tony's Pizza and Pasta,43.64828690534951,-79.37500477402445
249,St. James Town,43.65215000000007,-79.37586999999995,Sushi Restaurant,Katana on Bay,43.650299,-79.380858
251,St. James Town,43.65215000000007,-79.37586999999995,Sushi Restaurant,Bento Nouveau,43.64872477519558,-79.37929175183983
253,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.64857000000006,-79.57824999999997,Seafood Restaurant,Fish & Chips,43.650795461534244,-79.58021565583073
256,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.64857000000006,-79.57824999999997,Chinese Restaurant,Hong Kong Gourmet,43.651106046724365,-79.57953214645386
258,The Beaches,43.67709000000008,-79.29546999999997,Asian Restaurant,Seaspray Restaurant,43.678887885937094,-79.29816674246032
259,Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,The Keg Steakhouse + Bar - Esplanade,43.64671207408793,-79.37476761639118
260,Berczy Park,43.64536000000004,-79.37305999999995,Vegetarian / Vegan Restaurant,Fresh On Front,43.64781466405137,-79.3744527618627
261,Berczy Park,43.64536000000004,-79.37305999999995,Thai Restaurant,Sukhothai,43.64848710249909,-79.37454735245633
263,Berczy Park,43.64536000000004,-79.37305999999995,Seafood Restaurant,Buster's Sea Cove,43.6484950904393,-79.37146231793892
265,Berczy Park,43.64536000000004,-79.37305999999995,Seafood Restaurant,Market Street Catch,43.64850142396483,-79.3718080237409
266,Berczy Park,43.64536000000004,-79.37305999999995,French Restaurant,Biff's Bistro,43.647084825125084,-79.37634231908494
267,Berczy Park,43.64536000000004,-79.37305999999995,Café,Balzac's Coffee,43.64845650131932,-79.37178993724407
268,Berczy Park,43.64536000000004,-79.37305999999995,Creperie,Crepe It Up!,43.64873614340388,-79.37162306748482
269,Berczy Park,43.64536000000004,-79.37305999999995,Bistro,FARMR Eatery & Catering,43.648419863375096,-79.37027379521088
270,Berczy Park,43.64536000000004,-79.37305999999995,Comfort Food Restaurant,Loaded Pierogi,43.647965,-79.373427
273,Berczy Park,43.64536000000004,-79.37305999999995,Bagel Shop,St. Urbain Bagel,43.64861083503254,-79.37149723554923
274,Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,The Works Gourmet Burger Bistro,43.648742,-79.374142
275,Berczy Park,43.64536000000004,-79.37305999999995,Italian Restaurant,The Old Spaghetti Factory,43.64696445846655,-79.37440258334287
276,Berczy Park,43.64536000000004,-79.37305999999995,Japanese Restaurant,Chotto Matte,43.646473,-79.378782
277,Berczy Park,43.64536000000004,-79.37305999999995,Indian Restaurant,Bindia Indian Bistro,43.64855916613238,-79.37181600953608
278,Berczy Park,43.64536000000004,-79.37305999999995,Greek Restaurant,Alexandro's World Famous Gyros,43.6416627086796,-79.3752137736969
279,Berczy Park,43.64536000000004,-79.37305999999995,Molecular Gastronomy Restaurant,Woods Restaurant & Bar,43.6493568159853,-79.37500248445933
280,Berczy Park,43.64536000000004,-79.37305999999995,Belgian Restaurant,Bier Markt Esplanade,43.64723602476138,-79.37389161769812
281,Berczy Park,43.64536000000004,-79.37305999999995,Moroccan Restaurant,The Sultan's Tent and Cafe Moroc,43.647927833506316,-79.37434095390434
282,Berczy Park,43.64536000000004,-79.37305999999995,Diner,Paddington's Pump,43.649035,-79.371899
