Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
Leaside,43.709020000000066,-79.36348999999996,Restaurant,Mong Sushi & Grill,43.7115185288775,-79.3638717218132
Leaside,43.709020000000066,-79.36348999999996,Restaurant,Tao Northern Chinese Cuisine,43.712281,-79.364335
Leaside,43.709020000000066,-79.36348999999996,Restaurant,Naan & Kabob,43.704803000000005,-79.36152
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,The Elm Tree Restaurant,43.65739749535259,-79.38376054171512
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Japango,43.65526771691681,-79.38516506734886
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Yueh Tung Chinese Restaurant,43.6552812634292,-79.3853365267765
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Rolltation,43.654917918573005,-79.3874242454196
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Somethin' 2 Talk About,43.65839479027969,-79.38533765920816
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Red Lobster,43.656328,-79.38362099999999
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Sansotei Ramen 三草亭,43.65515746756125,-79.38650067479335
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,JOEY Eaton Centre,43.656093654082795,-79.38187792357715
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Salad King,43.65760101432665,-79.38161963017174
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,KAKA,43.65745745164475,-79.38419169987877
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Crepe Delicious,43.65453648827725,-79.38088885547485
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Chipotle Mexican Grill,43.656859999999995,-79.38091
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Bourbon St. Grill,43.65513514101621,-79.3808225262395
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Trattoria Mercatto,43.654453144701996,-79.38097410756741
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Jack Astor's Bar & Grill,43.656019399920595,-79.38032551379719
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Gallery Sushi,43.65448054612779,-79.39063459151606
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Spring Sushi,43.65625252981609,-79.38065954471074
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Paramount Fine Foods,43.65502870847598,-79.38024513018975
